mesto,datum,Povprečna temperatura (v °C)
Ljubljana,2024-09-04,22.3
Ljubljana,2024-09-05,20.6
Ljubljana,2024-09-06,19.5
Ljubljana,2024-09-07,20.3
Ljubljana,2024-09-08,21.6
Ljubljana,2024-09-09,18.8
Ljubljana,2024-09-10,17.5
Ljubljana,2024-09-11,17.6
Ljubljana,2024-09-12,13.5
Ljubljana,2024-09-13,9.7
Ljubljana,2024-09-14,11.1
Ljubljana,2024-09-15,12.8
Ljubljana,2024-09-16,12.1
Ljubljana,2024-09-17,11.9
Ljubljana,2024-09-18,13.4
Ljubljana,2024-09-19,15.8
Ljubljana,2024-09-20,15.5
Ljubljana,2024-09-21,16.0
Ljubljana,2024-09-22,15.1
Ljubljana,2024-09-23,15.4
Ljubljana,2024-09-24,16.1
Ljubljana,2024-09-25,15.8
Ljubljana,2024-09-26,17.9
Ljubljana,2024-09-27,19.7
Ljubljana,2024-09-28,14.6
Ljubljana,2024-09-29,11.6
Ljubljana,2024-09-30,10.2
Ljubljana,2024-10-01,11.6
Ljubljana,2024-10-02,13.8
Ljubljana,2024-10-03,11.2
Ljubljana,2024-10-04,9.0
Ljubljana,2024-10-05,10.5
Ljubljana,2024-10-06,10.6
Ljubljana,2024-10-07,11.9
Ljubljana,2024-10-08,16.2
Ljubljana,2024-10-09,17.2
Ljubljana,2024-10-10,16.9
Ljubljana,2024-10-11,13.5
Ljubljana,2024-10-12,11.1
Ljubljana,2024-10-13,12.7
Ljubljana,2024-10-14,11.6
Ljubljana,2024-10-15,13.9
Ljubljana,2024-10-16,13.0
Ljubljana,2024-10-17,12.2
Ljubljana,2024-10-18,12.5
Ljubljana,2024-10-19,12.7
Ljubljana,2024-10-20,11.7
Ljubljana,2024-10-21,10.8
Ljubljana,2024-10-22,12.8
Ljubljana,2024-10-23,12.9
Ljubljana,2024-10-24,13.0
Ljubljana,2024-10-25,13.2
Ljubljana,2024-10-26,14.4
Ljubljana,2024-10-27,14.7
Ljubljana,2024-10-28,13.1
Ljubljana,2024-10-29,13.3
Ljubljana,2024-10-30,11.9
Ljubljana,2024-10-31,11.6
Ljubljana,2024-11-01,10.4
Ljubljana,2024-11-02,9.0
Ljubljana,2024-11-03,8.9
Ljubljana,2024-11-04,5.5
Ljubljana,2024-11-05,6.3
Ljubljana,2024-11-06,5.3
Ljubljana,2024-11-07,4.9
Ljubljana,2024-11-08,4.5
Ljubljana,2024-11-09,4.0
Ljubljana,2024-11-10,3.2
Ljubljana,2024-11-11,2.9
Ljubljana,2024-11-12,1.8
Ljubljana,2024-11-13,2.3
Ljubljana,2024-11-14,2.2
